Número,Nome,Estrelas,url,PRs Aprovados ou Fechados
347,nlohmann/json,34405,https://github.com/nlohmann/json,895
348,dkhamsing/open-source-ios-apps,34348,https://github.com/dkhamsing/open-source-ios-apps,849
349,react-hook-form/react-hook-form,34292,https://github.com/react-hook-form/react-hook-form,2152
350,preactjs/preact,34228,https://github.com/preactjs/preact,1998
351,wg/wrk,34205,https://github.com/wg/wrk,70
352,jeecgboot/jeecg-boot,34193,https://github.com/jeecgboot/jeecg-boot,167
353,sahat/hackathon-starter,34079,https://github.com/sahat/hackathon-starter,570
354,topjohnwu/Magisk,34067,https://github.com/topjohnwu/Magisk,1885
355,skylot/jadx,34055,https://github.com/skylot/jadx,436
356,ant-design/ant-design-pro,34008,https://github.com/ant-design/ant-design-pro,1398
357,TanStack/query,33987,https://github.com/TanStack/query,1574
358,jesseduffield/lazygit,33950,https://github.com/jesseduffield/lazygit,1062
359,photonstorm/phaser,33932,https://github.com/photonstorm/phaser,2237
360,getsentry/sentry,33888,https://github.com/getsentry/sentry,39526
361,jgraph/drawio,33861,https://github.com/jgraph/drawio,148
362,koajs/koa,33855,https://github.com/koajs/koa,787
363,eugenp/tutorials,33852,https://github.com/eugenp/tutorials,13096
364,google-research/bert,33840,https://github.com/google-research/bert,104
365,rust-unofficial/awesome-rust,33838,https://github.com/rust-unofficial/awesome-rust,1341
366,pingcap/tidb,33833,https://github.com/pingcap/tidb,27411
367,airbnb/lottie-android,33770,https://github.com/airbnb/lottie-android,680
368,tabler/tabler,33677,https://github.com/tabler/tabler,643
369,microsoft/monaco-editor,33660,https://github.com/microsoft/monaco-editor,422
370,starship/starship,33638,https://github.com/starship/starship,2677
371,open-guides/og-aws,33610,https://github.com/open-guides/og-aws,571
372,exacity/deeplearningbook-chinese,33596,https://github.com/exacity/deeplearningbook-chinese,31
373,shadowsocks/shadowsocks-android,33579,https://github.com/shadowsocks/shadowsocks-android,369
374,AobingJava/JavaFamily,33532,https://github.com/AobingJava/JavaFamily,14
375,bumptech/glide,33514,https://github.com/bumptech/glide,805
376,AppFlowy-IO/AppFlowy,33507,https://github.com/AppFlowy-IO/AppFlowy,1204
377,adobe/brackets,33474,https://github.com/adobe/brackets,5438
